PlantID,Project,County,WRA,TurbineCount,TurbineID,Manufacturer,Model,RotorArea_m2,Capacity_kW,GroupCapacity_kW,GroupCF
W0414,"North Sky River, LLC",Kern,Tehachapi,100,WT,General Electric,XLE ESS,7854,"1,620",162000,0.326332607
W0319,Oak Creek Wind Power,Kern,Tehachapi,7,Phase 1,NEG Micon,NM600,1452,600,4200,0.285602801
W0319,Oak Creek Wind Power,Kern,Tehachapi,3,Phase 2AB,NEG Micon,NM900,2124,900,2700,0.285602801
W0319,Oak Creek Wind Power,Kern,Tehachapi,1,Phase 2C,NEG Micon,NM1500,4072,"1,500",1500,0.285602801
W0319,Oak Creek Wind Power,Kern,Tehachapi,33,Phase 2,NEG Micon,NM700,1820,700,23100,0.285602801
W0385,"Oasis Power Partners, LLC",Kern,Tehachapi,60,All,Mitsubishi,MHI 1000,2552,"1,000",60000,0.34416253
W0409,Ocotillo Express LLC,Imperial,East San Diego,112,OWE,Siemens,SWT-2.3-108,9144,"2,370",265440,0.230575247
W0367,"Pacific Wind Project, LLC",Kern,Tehachapi,70,All,REpower,MM92,6720,"2,050",143500,0.265391462
W0311,Painted Hills Wind Developers,Riverside,San Gorgonio,65,V-15,Vestas,V15,165,65,4225,0.261041027
W0311,Painted Hills Wind Developers,Riverside,San Gorgonio,166,V-17,Vestas,V17,254,90,14940,0.261041027
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,16,GE 1.5 Cable D,General Electric,GE 1.5 SLE,4657,"1,500",24000,0.181490636
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,12,GE 1.5 Cable E,General Electric,GE 1.5 SLE,4657,"1,500",18000,0.181490636
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,16,GE 1.5 Cable B,General Electric,GE 1.5 SLE,4657,"1,500",24000,0.181490636
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,16,GE 1.5 Cable F,General Electric,GE 1.5 SLE,4657,"1,500",24000,0.181490636
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,16,GE 1.5 Cable A,General Electric,GE 1.5 SLE,4657,"1,500",24000,0.181490636
W0368,Pine Tree Wind Power Plant,Kern,Tehachapi,14,GE 1.5 Cable C,General Electric,GE 1.5 SLE,4657,"1,500",21000,0.181490636
W0415,Pinyon Pines Winds I,Kern,Tehachapi,56,PPI,Vestas,V90,6362,"3,000",168000,0.238313476
W0416,Pinyon Pines Winds II,Kern,Tehachapi,44,PPII,Vestas,V90,6362,"3,000",132000,0.219051069
W0297,Ridgetop Energy,Kern,Tehachapi,26,Vestas V-39,Vestas,V39,1195,500,13000,0.291615525
W0297,Ridgetop Energy,Kern,Tehachapi,3,Vestas V-47,Vestas,V47,1735,660,1980,0.291615525
W0297,Ridgetop Energy,Kern,Tehachapi,163,Nordtank 75,Nordtank,75,154,75,12225,0.291615525
W0297,Ridgetop Energy,Kern,Tehachapi,12,Micon 108,Micon,108,281,108,1296,0.291615525
W0265,Ridgetop Energy II,Kern,Tehachapi,71,Vestas V-47,Vestas,V47,1735,660,46860,0.367110255
W0458,Rising Tree Wind Farm I,Kern,Tehachapi,24,Rising Tree I,Vestas,V112,9852,"3,300",79200,0.352248382
W0459,Rising Tree Wind Farm II,Kern,Tehachapi,6,Rising Tree II,Vestas,V112,9852,"3,300",19800,0.342479479
W0438,Rising Tree Wind Farm III,Kern,Tehachapi,30,RT III,Vestas,V112,9852,"3,300",99000,0.371447591
W0401,Robertsons Ready-Mix,Riverside,San Gorgonio,2,GE 1.5 SLE,General Electric,GE 1.5 SLE,4657,"1,000",2000,0.557493511
W0396,Safeway Tracy,San Joaquin,Altamont,2,1,Mitsubishi,MWT-1000,2961,"1,000",2000,0.157492999
W0261,San Gorgonio Farms Wind Farm,Riverside,San Gorgonio,15,V39s,Vestas,V39,1195,500,7500,0.384812709
W0261,San Gorgonio Farms Wind Farm,Riverside,San Gorgonio,19,V42s,Vestas,V42,1385,500,9500,0.384812709
W0261,San Gorgonio Farms Wind Farm,Riverside,San Gorgonio,20,Bonus 65s,Bonus Siemens,B65,201,65,1300,0.384812709
W0261,San Gorgonio Farms Wind Farm,Riverside,San Gorgonio,55,Bonus 120s,Bonus Siemens,B19/120,284,120,6600,0.384812709
W0261,San Gorgonio Farms Wind Farm,Riverside,San Gorgonio,2,V90s,Vestas,V90,6362,"3,000",6000,0.384812709
W0283,San Gorgonio Westwinds II,Riverside,San Gorgonio,48,Micon 700,Micon,700,1521,700,33600,0.284821032
W0283,San Gorgonio Westwinds II,Riverside,San Gorgonio,14,Micon 700,Micon,700,1810,700,9800,0.284821032
W0447,San Gorgonio Wind,Riverside,San Gorgonio,33,WT,General Electric,GE 1.5 SLE,4778,"1,500",49500,0.432107965
W0331,Santa Clara 85C,Alameda,Altamont,178,59099,Vestas,V17,226,90,16020,0.164327725
W0358,Shiloh I Wind,Solano,Solano,100,All,General Electric,GE 1.5,4657,"1,500",150000,0.293816476
W0421,"Shiloh III Wind Project, LLC",Solano,Solano,50,All,REpower,MM92,6720,"2,050",102500,0.295399618
W0422,"Shiloh IV Wind Project, LLC",Solano,Solano,50,All,REpower,MM92,6720,"2,050",102500,0.317785436
W0384,"Shiloh Wind Project 2, LLC",Solano,Solano,75,All,REpower,MM92,6720,"2,050",153750,0.300022815
